,abstract,abstract-zh,authors,date,title,title-de,title-zh,url
0,"Minimmit is a new protocol for State-Machine-Replication (SMR) that extends the '2-round finality' approach of protocols such as Alpenglow to further reduce latency, by allowing for faster progression through 'views'. This preliminary draft provides motivation and pseudocode, together with proofs of consistency and liveness. An updated draft with a proof of optimistic responsiveness, suggested optimizations, and experiments, is to follow.","Minimmit是一个新的国家-海洋复制协议(SMR),它扩大了Alpenglow等协议的“两轮终结”方法,通过允许通过“视图”更快的推进来进一步降低延缓。 初步草案提供了动机和假代码,并提供了一致性和活性的证据。 一份更新的草案,其中附有乐观反应、建议优化和实验的证据,将随之而来。","Brendan Kobayashi Chou, Andrew Lewis-Pye, Patrick O'Grady",2025-08-14T17:31:40Z,Minimmit: Fast Finality with Even Faster Blocks,Minimmit: Schnelle Endgültigkeit mit noch schnelleren Blöcken,"最小化: 快速终极, 甚至更快的区块",http://arxiv.org/abs/2508.10862v1
1,"The evolution of cloud computing has given rise to Cloud Native Applications (CNAs), presenting new challenges in governance, particularly when faced with strict compliance requirements. This work explores the unique characteristics of CNAs and their impact on governance. We introduce a comprehensive reference architecture designed to streamline governance across CNAs, along with a sample implementation, offering insights for both single and multi-cloud environments. Our architecture seamlessly integrates governance within the CNA framework, adhering to a ``battery-included'' philosophy. Tailored for both expansive and compact CNA deployments across various industries, this design enables cloud practitioners to prioritize product development by alleviating the complexities associated with governance. In addition, it provides a building block for academic exploration of generic CNA frameworks, highlighting their relevance in the evolving cloud computing landscape.","云计算的发展产生了云层本地应用,提出了治理方面的新挑战,特别是在面临严格的合规要求时。这项工作探索了云层本地应用的独特性及其对治理的影响。我们引入了旨在简化整个云层本地应用的治理的全面参考架构,同时引入了样本实施,为单一和多层环境提供了洞察力。我们的架构在云层本地应用框架内无缝地整合了治理,坚持了“电池”包含的理念。这一设计为在不同行业广泛和紧凑的计算机应用提供了定制,使云层从业者能够通过缓解与治理相关的复杂因素,将产品开发列为优先事项。此外,它还为学术探索通用的云层本地应用框架提供了基础,突出了这些框架在不断演变的云层计算环境中的关联性。","William Pourmajidi, Lei Zhang, John Steinbacher, Tony Erwin, Andriy Miranskyy",2025-08-14T17:31:02Z,A Reference Architecture for Governance of Cloud Native Applications,Eine Referenzarchitektur für die Steuerung von Cloud-Native-Anwendungen,管理云层本地应用参考架构,http://arxiv.org/abs/2302.11617v3
2,"In this paper we present CQ, a specification for a C-like API for quantum accelerated HPC, as well as CQ-SimBE, a reference implementation of CQ written in C99, and built on top of the statevector simulator QuEST. CQ focuses on enabling the incremental integration of quantum computing into classical HPC codes by supporting runtime offloading from languages such as C and Fortran. It provides a way of describing and offloading quantum computations which is compatible with strictly and strongly typed compiled languages, and gives the programmer fine-grained control over classical data movement. The CQ Simulated Backend (CQ-SimBE) provides both a way to demonstrate the usage and utility of CQ, and a space to experiment with new features such as support for analogue quantum computing. Both the CQ specification and CQ-SimBE are open-source, and available in public repositories.","在本文中,我们介绍了CQ,即CQ-SimBE的量子加速 HPC C类 API规格,以及CQ-SimBE,这是C99 中写CQ的参考执行,建于州制模拟器 QuEST。CQ侧重于通过支持C和Fortran等语言的运行时间卸载,使量子计算逐步融入经典HPC编码。它提供了一种描述和卸载量量子计算的方法,这种计算与严格和强烈打印的已编译语言兼容,并给予程序员对古典数据移动的精细精密控制。CQ 模拟后端(CQ-SimBE)提供了展示CQ的使用情况和效用的途径,提供了试验空间,例如支持模拟量子计算。CQ规格和CQ-SimBE都是开源的,可在公共储存库中查阅。","Oliver Thomson Brown, Mateusz Meller, James Richings",2025-08-14T17:26:02Z,Introducing CQ: A C-like API for Quantum Accelerated HPC,Einführung in CQ: Eine C-ähnliche API für Quantum Accelerated HPC,引入 CQ: Qantum 加速 HPC 的 C 类类 API,http://arxiv.org/abs/2508.10854v1
3,"In this paper, we explore mission assignment and task offloading in an Open Radio Access Network (Open RAN)-based intelligent transportation system (ITS), where autonomous vehicles leverage mobile edge computing for efficient processing. Existing studies often overlook the intricate interdependencies between missions and the costs associated with offloading tasks to edge servers, leading to suboptimal decision-making. To bridge this gap, we introduce Oranits, a novel system model that explicitly accounts for mission dependencies and offloading costs while optimizing performance through vehicle cooperation. To achieve this, we propose a twofold optimization approach. First, we develop a metaheuristic-based evolutionary computing algorithm, namely the Chaotic Gaussian-based Global ARO (CGG-ARO), serving as a baseline for one-slot optimization. Second, we design an enhanced reward-based deep reinforcement learning (DRL) framework, referred to as the Multi-agent Double Deep Q-Network (MA-DDQN), that integrates both multi-agent coordination and multi-action selection mechanisms, significantly reducing mission assignment time and improving adaptability over baseline methods. Extensive simulations reveal that CGG-ARO improves the number of completed missions and overall benefit by approximately 7.1% and 7.7%, respectively. Meanwhile, MA-DDQN achieves even greater improvements of 11.0% in terms of mission completions and 12.5% in terms of the overall benefit. These results highlight the effectiveness of Oranits in enabling faster, more adaptive, and more efficient task processing in dynamic ITS environments.","在本文中,我们探索在基于开放无线电接入网络(开放RAN)的智能运输系统中进行任务分配和任务卸载,在该系统中,自主车辆利用移动边缘计算进行高效处理;现有研究往往忽视特派团之间错综复杂的相互依存关系和将任务卸载到边缘服务器的相关费用,导致决策不优化;为了缩小这一差距,我们引入了奥拉尼特,这是一个新颖的系统模型,明确说明特派团依赖性和卸载费用,同时通过车辆合作优化业绩。为了实现这一点,我们建议采用双优化办法。首先,我们开发了基于计量经济学的进化计算算法,即基于查托高斯的Gaussian全球ARO(CGG-ARO),作为一线优化的基准。第二,我们设计了一个基于奖励的强化学习(DRL)框架,称为多试机构双深网络(MA-DQN),将多机构协调和多行动选择机制结合起来,显著缩短了任务分配时间,改进了基线方法的适应性调整能力。","Ngoc Hung Nguyen, Nguyen Van Thieu, Quang-Trung Luu, Anh Tuan Nguyen, Senura Wanasekara, Nguyen Cong Luong, Fatemeh Kavehmadavani, Van-Dinh Nguyen",2025-08-14T14:59:13Z,Oranits: Mission Assignment and Task Offloading in Open RAN-based ITS   using Metaheuristic and Deep Reinforcement Learning,Oranits: Missionszuweisung und Aufgabe-Offloading in Open RAN-basierten ITS mit Hilfe von Metaheuristic und Deep Reinforcement Learning,Oranits:利用超常和深强化学习在以开放RAN为基础的ITS中执行特派任务和卸载任务,http://arxiv.org/abs/2507.19712v2
4,"Industry 5.0 demands IoT systems that support seamless human-machine collaboration, yet current IoT data analysis requires deep domain, deployment, and query expertise. We show that combining Large Language Models (LLMs) with Knowledge Graphs (KGs) enables natural language access to heterogeneous IoT data. Focusing on data center IoT telemetry, we introduce a rule-based Virtual Knowledge Graph (VKG) construction process and an on-premise LLM inference service to create an end-to-end Data Analytics (DA) chatbot. Our system dynamically generates VKGs per query and translates user input into SPARQL, achieving 92.5% accuracy (vs. 25% for LLM-to-NoSQL) while reducing latency by 85% (20.36s to 3.03s) and keeping VKG sizes under 179 MiB. This work demonstrates that VKG-powered LLM interfaces deliver accurate, low-latency, and relationship-aware access to large-scale telemetry, bridging the gap between users and complex IoT systems in Industry 5.0.","工业5.0 工业5.0 需要支持无缝人体机械合作的IoT系统,而当前的IoT数据分析则需要深域、部署和查询专门知识。我们显示,将大语言模型与知识图(KGs)相结合,可以自然地访问各种IoT数据。我们侧重于数据中心IoT遥测,引入了基于规则的虚拟知识图(VKG)建设流程和在线LLM推理服务,以创建终端到终端数据分析器(DA)聊天机。我们的系统动态地生成每个查询的VKGs,并将用户输入转换到STARQL, 达到9.2.5%的精确度(LLM--NOSQL为25%),同时将LLM-NQL降低85%(20.36至3.03s),并将VKG体积保持在179 MiB之下。 这项工作表明,VKG-LM能动的LM界面提供精确、低频度和感应的大规模远程测量,缩小用户与工业中复杂的IOT系统之间的距离。","Junaid Ahmed Khan, Hiari Pizzini Cavagna, Andrea Proia, Andrea Bartolini",2025-08-14T11:40:12Z,From Data Center IoT Telemetry to Data Analytics Chatbots -- Virtual   Knowledge Graph is All You Need,"Vom Rechenzentrum IoT Telemetrie zu Data Analytics Chatbots -- Virtual Knowledge Graph ist alles, was Sie brauchen",从数据中心 IoT 遥测到数据分析器聊天机器人 -- -- 虚拟知识图是你所需要的,http://arxiv.org/abs/2506.22267v2
5,"The ever-increasing demand for generative artificial intelligence (GenAI) has motivated cloud-based GenAI services such as Azure OpenAI Service and Amazon Bedrock. Like any large-scale cloud service, failures are inevitable in cloud-based GenAI services, resulting in user dissatisfaction and significant monetary losses. However, GenAI cloud services, featured by their massive parameter scales, hardware demands, and usage patterns, present unique challenges, including generated content quality issues and privacy concerns, compared to traditional cloud services. To understand the production reliability of GenAI cloud services, we analyzed production incidents from a leading GenAI cloud service provider spanning in the past four years. Our study (1) presents the general characteristics of GenAI cloud service incidents at different stages of the incident life cycle; (2) identifies the symptoms and impacts of these incidents on GenAI cloud service quality and availability; (3) uncovers why these incidents occurred and how they were resolved; (4) discusses open research challenges in terms of incident detection, triage, and mitigation, and sheds light on potential solutions.","对基因化人工智能(GenAI)的需求不断增加,促使GenAI公司提供以云为基础的服务,如Azure OpenAI Service和Amazon Bedrock等。与任何大型云服务一样,在云型GenAI服务中,失败是不可避免的,造成用户不满和巨大的货币损失。然而,GenAI公司云服务因其庞大的参数规模、硬件需求和使用模式而呈现出独特的挑战,包括与传统云服务相比,产生了内容质量问题和隐私问题。为了了解GenAI公司云服务的生产可靠性,我们分析了过去4年中一家主要GenAI公司云级服务供应商的生产事件。我们的研究(1) 介绍了GenAI公司云型服务事件在事件生命周期不同阶段的一般特点;(2) 查明这些事件的症状及其对GenAI云服务质量和可用性的影响;(3) 揭示这些事件发生的原因和如何解决;(4) 讨论事件探测、三角和缓解方面的公开研究挑战,并揭示潜在解决办法。","Haoran Yan, Yinfang Chen, Minghua Ma, Ming Wen, Shan Lu, Shenglin Zhang, Tianyin Xu, Rujia Wang, Chetan Bansal, Saravan Rajmohan, Qingwei Lin, Chaoyun Zhang, Dongmei Zhang",2025-08-14T10:57:30Z,An Empirical Study of Production Incidents in Generative AI Cloud   Services,Eine empirische Studie über Produktionsvorfälle in generativen KI-Cloud-Diensten,关于产生AI Cloud Services 中生产事故的经验研究,http://arxiv.org/abs/2504.08865v2
6,"Parallel execution of smart contract transactions in large multicore architectures is critical for higher efficiency and improved throughput. The main bottleneck for maximizing the throughput of a node through parallel execution is transaction conflict resolution: when two transactions interact with the same data, like an account balance, their order matters. Imagine one transaction sends tokens from account A to account B, and another tries to send tokens from account B to account C. If the second transaction happens before the first one, the token balance in account B might be wrong, causing the entire system to break. Conflicts like these must be managed carefully, or you end up with an inconsistent, unusable blockchain state.   Traditional software transactional memory (STM) has been identified as a possible abstraction for the concurrent execution of transactions within a block, with Block-STM pioneering its application for efficient blockchain transaction processing on multicore validator nodes. This paper presents a parallel execution methodology that leverages conflict specification information of the transactions for block transactional memory (BTM) algorithms. Our experimental analysis, conducted over synthetic transactional workloads and real-world blocks, demonstrates that BTMs leveraging conflict specifications outperform their plain counterparts on both EVM and MoveVM. Our proposed BTM implementations achieve up to 1.75x speedup over sequential execution and outperform the state-of-the-art Parallel-EVM (PEVM) execution by up to 1.33x across synthetic workloads.","在大型多核心结构中,智能合同交易平行执行对于提高效率和改进吞吐量至关重要。对于通过平行执行最大限度地增加节点的吞吐量来说,主要的瓶颈是交易冲突的解决:当两个交易与账户余额等相同数据发生互动时,交易的顺序问题。想象一个交易从账户A向账户B发送质记,另一个交易试图从账户B向账户C发送质记。如果第二个交易发生在第一个交易之前,账户B的质记余额可能是错误的,导致整个系统崩溃。这样的冲突必须小心处理,或者最终形成一个不一致、无法使用的链条状态。传统的软件交易存储(STM)已被确定为一个可能的抽象信息,用于同时在一个块内执行交易,例如账户余额。想象一个交易从账户A向账户B发送质记,另一个交易试图将质记从账户B到账户C。如果第二个交易发生在第一个交易之前,则账户B的质记账余额可能会有误,导致整个系统崩溃。我们对于合成交易工作量和实体世界块的实验分析必须谨慎进行。传统的软件交易存储存储存储存储存储器将冲突规格运用到我们1-75M的连续执行速度。","Parwat Singh Anjana, Matin Amini, Rohit Kapoor, Rahul Parmar, Raghavendra Ramesh, Srivatsan Ravi, Joshua Tobkin",2025-08-14T10:38:54Z,Efficient Parallel Execution of Blockchain Transactions Leveraging   Conflict Specifications,"Effiziente parallele Ausführung von Blockchain-Transaktionen, die Konfliktspezifikationen auslösen",利用冲突特点,http://arxiv.org/abs/2503.03203v2
7,"Dalek is an experimental compute cluster designed to evaluate the performance of heterogeneous, consumer-grade hardware for software design, prototyping, and algorithm development. In contrast to traditional computing centers that rely on costly, server-class components, Dalek integrates CPUs and GPUs typically found in mini-PCs, laptops, and gaming desktops, providing a cost-effective yet versatile platform. This document details the cluster's architecture and software stack, and presents results from synthetic benchmarks. Furthermore, it introduces a custom energy monitoring platform capable of delivering 1000 averaged samples per second with milliwatt-level resolution. This high-precision monitoring capability enables a wide range of energy-aware research experiments in applied Computer Science.","Dalek是一个试验性的计算组群,旨在评估软件设计、原型和算法开发方面各种消费者级硬件的性能。与依赖昂贵的服务器级组件的传统计算中心不同,Dalek整合了通常在微型PC、膝上型计算机和游戏桌面中找到的CPU和GPU,提供了一个成本效益高但多功能的平台。本文件详细介绍了该组群的架构和软件堆叠,并介绍了合成基准的结果。此外,它引入了一个定制的能源监测平台,能够以毫微瓦分辨率每秒提供1,000个平均样本。这种高精度监测能力使得应用计算机科学中能够进行广泛的能源意识研究实验。","Adrien Cassagne, Noé Amiot, Manuel Bouyer",2025-08-14T09:32:47Z,Dalek: An Unconventional and Energy-Aware Heterogeneous Cluster,Dalek: Ein unkonventioneller und energiebewusster Heterogener Cluster,Dalek:一个非常规和能源知识异质集群,http://arxiv.org/abs/2508.10481v1
8,"Fine-tuning foundation models is critical for superior performance on personalized downstream tasks, compared to using pre-trained models. Collaborative learning can leverage local clients' datasets for fine-tuning, but limited client data and heterogeneous data distributions hinder effective collaboration. To address the challenge, we propose a flexible personalized federated learning paradigm that enables clients to engage in collaborative learning while maintaining personalized objectives. Given the limited and heterogeneous computational resources available on clients, we introduce \textbf{flexible personalized split federated learning (FlexP-SFL)}. Based on split learning, FlexP-SFL allows each client to train a portion of the model locally while offloading the rest to a server, according to resource constraints. Additionally, we propose an alignment strategy to improve personalized model performance on global data. Experimental results show that FlexP-SFL outperforms baseline models in personalized fine-tuning efficiency and final accuracy.","与使用预先培训的模式相比,微调基础模型对于个人化下游任务的优异业绩至关重要。合作学习可以利用当地客户的数据集进行微调,但有限的客户数据和多种数据分布会阻碍有效的合作。为了应对这一挑战,我们提议了一个灵活的个性化联合会学习模式,使客户能够参与合作学习,同时保持个性化目标。鉴于客户可用的计算资源有限且不尽相同,我们引入了\ textbf{灵活个性化分裂联邦化学习(FlexP-SFL)}。基于分解学习,FlexP-SFL允许每个客户在将其余部分从服务器上卸载到服务器时,在当地培训部分模型。此外,我们提议了一个调整战略,以改善全球数据的个人化模型性能。实验结果表明,FlexP-SFL在个人化微调效率和最终准确性方面超越了基线模型。","Tianjun Yuan, Jiaxiang Geng, Pengchao Han, Xianhao Chen, Bing Luo",2025-08-14T05:14:00Z,Flexible Personalized Split Federated Learning for On-Device Fine-Tuning   of Foundation Models,Flexibles personalisiertes Split-Federated-Learning für On-Device-Fine-Tuning von Foundation-Modellen,灵活个性化灵活个人化的基金会模式在建基金模型的在建翻新,http://arxiv.org/abs/2508.10349v1
9,"Particle-based simulations and point-cloud applications generate massive, irregular datasets that challenge storage, I/O, and real-time analytics. Traditional compression techniques struggle with irregular particle distributions and GPU architectural constraints, often resulting in limited throughput and suboptimal compression ratios. In this paper, we present GPZ, a high-performance, error-bounded lossy compressor designed specifically for large-scale particle data on modern GPUs. GPZ employs a novel four-stage parallel pipeline that synergistically balances high compression efficiency with the architectural demands of massively parallel hardware. We introduce a suite of targeted optimizations for computation, memory access, and GPU occupancy that enables GPZ to achieve near-hardware-limit throughput. We conduct an extensive evaluation on three distinct GPU architectures (workstation, data center, and edge) using six large-scale, real-world scientific datasets from five distinct domains. The results demonstrate that GPZ consistently and significantly outperforms five state-of-the-art GPU compressors, delivering up to 8x higher end-to-end throughput while simultaneously achieving superior compression ratios and data quality.","基于粒子的模拟和点球应用生成了大规模、不规则的数据集,对存储、I/O和实时分析提出了挑战。传统压缩技术在不规则粒子分布和GPU建筑限制方面挣扎,往往导致有限的输送量和亚最佳压缩比率。在本文中,我们介绍了专门为现代GPU上大型粒子数据设计的高性能、受错误限制的损失压缩压缩机GPZ。GPZ使用一个新的四阶段平行管道,在高压缩效率与大规模平行硬件的建筑需求之间实现协同增效平衡。我们推出了一套用于计算、存取和GPUPU占用的定向优化,使GPZ能够实现接近硬质的软件限制。我们利用五个不同领域的6个大型、真实世界科学数据集,对3个不同的GPU结构(工作站、数据中心和边缘)进行了广泛的评价。结果显示,GPZ始终且大大超出5个州的GPU压缩效率,同时提供到8x更高端至端比例的数据。","Ruoyu Li, Yafan Huang, Longtao Zhang, Zhuoxun Yang, Sheng Di, Jiajun Huang, Jinyang Liu, Jiannan Tian, Xin Liang, Guanpeng Li, Hanqi Guo, Franck Cappello, Kai Zhao",2025-08-14T03:23:32Z,GPZ: GPU-Accelerated Lossy Compressor for Particle Data,GPZ: GPU-beschleunigter Lossy-Kompressor für Partikeldaten,GPZ: 粒子数据 GPU- 加速增缩压缩压缩器,http://arxiv.org/abs/2508.10305v1
