,abstract,abstract-zh,authors,date,title,title-de,title-zh,url
0,"Traditional AI safety evaluations on isolated LLMs are insufficient as multi-agent AI ensembles become prevalent, introducing novel emergent risks. This paper introduces the Multi-Agent Emergent Behavior Evaluation (MAEBE) framework to systematically assess such risks. Using MAEBE with the Greatest Good Benchmark (and a novel double-inversion question technique), we demonstrate that: (1) LLM moral preferences, particularly for Instrumental Harm, are surprisingly brittle and shift significantly with question framing, both in single agents and ensembles. (2) The moral reasoning of LLM ensembles is not directly predictable from isolated agent behavior due to emergent group dynamics. (3) Specifically, ensembles exhibit phenomena like peer pressure influencing convergence, even when guided by a supervisor, highlighting distinct safety and alignment challenges. Our findings underscore the necessity of evaluating AI systems in their interactive, multi-agent contexts.","对孤立的LLMs进行传统的AI安全评价是不够的,因为多试剂AI联合体变得很普遍,带来新的新风险。本文件介绍了多代理新兴行为评价(MAEBE)框架,以系统评估此类风险。我们利用MAEBE和最伟大的良好基准(以及一种新型的双重反向问题技术)来证明:(1)LLM道德偏好,特别是工具伤害的道德偏好,在单一代理体和组合体中都令人惊讶地变得脆弱,随着问题设置而发生重大变化。 (2)LLM联合体的道德推理不能直接从新出现的集团动态造成的孤立的代理体行为中预见出来。(3)具体地说,集合体展示了影响趋同的同行压力等现象,即使由上司指导,也突出了不同的安全和一致性挑战。我们的调查结果强调,有必要在其互动的多剂环境中评价AI系统。","Sinem Erisken, Timothy Gothard, Martin Leitgab, Ram Potham",2025-07-10T14:54:28Z,MAEBE: Multi-Agent Emergent Behavior Framework,MAEBE: Multi-Agent Emergent Behavior Framework,多边代理新兴行为框架,http://arxiv.org/abs/2506.03053v2
1,"Simulating collective decision-making involves more than aggregating individual behaviors; it emerges from dynamic interactions among individuals. While large language models (LLMs) offer strong potential for social simulation, achieving quantitative alignment with real-world data remains a key challenge. To bridge this gap, we propose the Mean-Field LLM (MF-LLM) framework, the first to incorporate mean field theory into LLM-based social simulation. MF-LLM models bidirectional interactions between individuals and the population through an iterative process, generating population signals to guide individual decisions, which in turn update the signals. This interplay produces coherent trajectories of collective behavior. To improve alignment with real-world data, we introduce IB-Tune, a novel fine-tuning method inspired by the Information Bottleneck principle, which retains population signals most predictive of future actions while filtering redundant history. Evaluated on a real-world social dataset, MF-LLM reduces KL divergence to human population distributions by 47\% compared to non-mean-field baselines, enabling accurate trend forecasting and effective intervention planning. Generalizing across 7 domains and 4 LLM backbones, MF-LLM provides a scalable, high-fidelity foundation for social simulation.","模拟集体决策涉及的不仅仅是综合个人行为;它产生于个人之间的动态互动;虽然大型语言模型(LLMs)为社会模拟提供了巨大的潜力,但与现实世界数据实现数量一致仍然是一个关键挑战。为了缩小这一差距,我们提议了中-实地LLM(MF-LLM)框架,这是第一个将中-实地理论纳入基于LLM的社会模拟中的第一个框架。MF-LLM模型通过一个迭接过程将个人和人口之间的双向互动纳入到LM社会模拟中,生成人口信号以指导个人决策,而后者又更新信号。这种相互作用产生了一致的集体行为轨迹。为了改善与现实世界数据的一致性,我们引入了IB-Tune,这是受信息博特内克原则启发的一种创新的微调方法,它保留了人口信号,在过滤多余历史的同时最能预测未来行动。MF-LM(LM)将KLM减少KLL与人口分布的差别,比非中等水平基线减少47,从而能够准确的趋势预测和有效干预规划。","Qirui Mi, Mengyue Yang, Xiangning Yu, Zhiyu Zhao, Cheng Deng, Bo An, Haifeng Zhang, Xu Chen, Jun Wang",2025-07-10T09:59:41Z,MF-LLM: Simulating Population Decision Dynamics via a Mean-Field Large   Language Model Framework,MF-LLM: Simulation von Populationsentscheidungsdynamiken über ein mittleres Feld Large Language Model Framework,MF-LLM:通过一个中外地大语言示范框架模拟人口决策动态,http://arxiv.org/abs/2504.21582v3
2,"Human and automation capabilities are the foundation of every human-autonomy interaction and interaction pattern. Therefore, machines need to understand the capacity and performance of human doing, and adapt their own behavior, accordingly. In this work, we address the concept of conjugated capabilities, i.e. capabilities that are dependent or interrelated and between which effort can be distributed. These may be used to overcome human limitations, by shifting effort from a deficient to a conjugated capability with performative resources. For example: A limited arm's reach may be compensated by tilting the torso forward. We analyze the interrelation between elementary capabilities within the IMBA standard to uncover potential conjugation, and show evidence in data of post-rehabilitation patients. From the conjugated capabilities, within the example application of stationary manufacturing, we create a network of interrelations. With this graph, a manifold of potential uses is enabled. We showcase the graph's usage in optimizing IMBA test design to accelerate data recordings, and discuss implications of conjugated capabilities on task allocation between the human and an autonomy.","人的能力和自动化能力是每一种人类自主互动和互动模式的基础。 因此, 机器需要了解人类行为的能力和表现, 并相应调整自己的行为。 在这项工作中, 我们处理共生能力的概念, 即依赖或相互联系的能力, 以及可以分散努力的能力。 这些能力可以用来克服人类的局限性, 将努力从不足的能力转向与性能资源相融合的能力。 例如: 有限的手臂的覆盖范围可以通过向前倾斜来弥补。 我们分析IMBA标准范围内的基本能力之间的相互关系, 以发现潜在的共生, 并在康复后病人的数据中显示证据。 从共生能力, 在固定的制造业应用中, 我们创建了一个相互联系的网络。 通过这个图表, 我们启用了多种潜在用途。 我们展示了图表在优化IMBA测试设计以加速数据记录, 并讨论共生能力对人与自主任务分配的影响。","Nils Mandischer, Larissa Füller, Torsten Alles, Frank Flemisch, Lars Mikelsons",2025-07-10T08:59:18Z,Conjugated Capabilities: Interrelations of Elementary Human Capabilities   and Their Implication on Human-Machine Task Allocation and Capability Testing   Procedures,Konjugierte Fähigkeiten: Zusammenhänge von elementaren menschlichen Fähigkeiten und deren Implikationen auf Mensch-Maschine-Aufgaben-Zuteilungs- und Fähigkeitsprüfungsverfahren,相容能力:人类基本能力之间的相互关系及其对人类-海洋任务分配和能力测试程序的影响,http://arxiv.org/abs/2507.07560v1
3,"The growing need for psychological support due to increasing pressures has exposed the scarcity of relevant datasets, particularly in non-English languages. To address this, we propose a framework that leverages limited real-world data and expert knowledge to fine-tune two large language models: Dialog Generator and Dialog Modifier. The Generator creates large-scale psychological counseling dialogues based on predefined paths, which guide system response strategies and user interactions, forming the basis for effective support. The Modifier refines these dialogues to align with real-world data quality. Through both automated and manual review, we construct the Chinese Psychological support Dialogue Dataset (CPsDD), containing 68K dialogues across 13 groups, 16 psychological problems, 13 causes, and 12 support focuses. Additionally, we introduce the Comprehensive Agent Dialogue Support System (CADSS), where a Profiler analyzes user characteristics, a Summarizer condenses dialogue history, a Planner selects strategies, and a Supporter generates empathetic responses. The experimental results of the Strategy Prediction and Emotional Support Conversation (ESC) tasks demonstrate that CADSS achieves state-of-the-art performance on both CPsDD and ESConv datasets.","由于压力增加,对心理支持的需求日益增长,这暴露了相关数据集的稀缺,特别是非英语的数据集。为此,我们提议了一个框架,利用有限的真实世界数据和专家知识对两种大语言模型进行微调:对话框生成器和对话框修饰器。发电机创造了基于预设路径的大规模心理咨询对话,指导系统反应战略和用户互动,为有效支持奠定基础。修饰器将这些对话改进为与现实世界数据质量相一致。通过自动化和人工审查,我们构建了中国心理支持对话数据集,其中包括13个群体之间的68K对话、16个心理问题、13个原因和12个支持重点。此外,我们引入了全面代理对话支持系统(CADSS),其中剖析器分析用户特性,一个解析器压缩对话历史,一个规划器选择战略,以及一个支持器生成了同情性反应。战略预测和情感支持对话(ESC)任务的实验结果显示,中国心理支持系统在CPDD和CURS上都实现了状态。","Yuanchen Shi, Longyin Zhang, Fang Kong",2025-07-10T07:56:35Z,Toward Real-World Chinese Psychological Support Dialogues: CPsDD Dataset   and a Co-Evolving Multi-Agent System,Auf dem Weg zu echten chinesischen Psychologischen Unterstützungsdialogen: CPsDD-Datensatz und ein gemeinsames Multi-Agenten-System,走向现实世界的中国心理支持对话:CPsDD数据集和共同演进的多行为者系统,http://arxiv.org/abs/2507.07509v1
4,"Large language model (LLM) based agentic workflows have become a popular paradigm for coordinating multiple specialized agents to solve complex tasks. To improve serving efficiency, existing LLM systems employ prefix caching to reuse key-value (KV) tensors corresponding to agents' fixed prompts, thereby avoiding redundant computation across repeated invocations. However, current systems typically evict KV caches using a Least Recently Used (LRU) policy, which fails to anticipate future agent usage and often discards KV caches shortly before their reuse. This leads to frequent cache misses and substantial recomputation or swapping overhead. We present KVFlow, a workflow-aware KV cache management framework tailored for agentic workloads. KVFlow abstracts the agent execution schedule as an Agent Step Graph and assigns each agent a steps-to-execution value that estimates its temporal proximity to future activation. These values guide a fine-grained eviction policy at the KV node level, allowing KVFlow to preserve entries likely to be reused and efficiently manage shared prefixes in tree-structured caches. Moreover, KVFlow introduces a fully overlapped KV prefetching mechanism, which proactively loads required tensors from CPU to GPU in background threads for agents scheduled in the next step, thereby avoiding cache miss stalls during generation. Compared to SGLang with hierarchical radix cache, KVFlow achieves up to 1.83$\times$ speedup for single workflows with large prompts, and up to 2.19$\times$ speedup for scenarios with many concurrent workflows.","大型语言模型( LLM) 以大型语言模式为基础的代理工作流程已成为协调多个专门代理商解决复杂任务的流行范例。 为了提高效率, 现有的 LLM 系统使用前缀缓存, 重新使用与代理商固定提示相对的键值( KV) , 从而避免重复计算。 然而, 当前系统通常使用最不常用的( LRU) 政策驱逐 KV 缓存, 这无法预测未来代理商的使用情况, 并经常在重新使用之前不久丢弃 KV 缓存 。 这导致频繁的缓存丢失和大量重置或转换管理管理管理管理。 我们展示了 KVFlow, 一个为代理工作量量定制的工作流程- World KVVV 缓存管理框架。 KVFlow 将代理商执行时间表作为代理Step 图表, 并给每个代理商分配一个步骤到执行值, 估计其与未来激活时间的距离。 这些值指导了 KVPO 节点的细化驱逐政策, 允许 KVFlow 保存可能被再利用的单流流流流和高效共享的预置速度, 。 KVlalal-lickraterateal 时间里, 时间里, 需要完全地在 SG 。","Zaifeng Pan, Ajjkumar Patel, Zhengding Hu, Yipeng Shen, Yue Guan, Wan-Lu Li, Lianhui Qin, Yida Wang, Yufei Ding",2025-07-10T03:39:23Z,KVFlow: Efficient Prefix Caching for Accelerating LLM-Based Multi-Agent   Workflows,KVFlow: Effizientes Präfix-Caching zur Beschleunigung von LLM-basierten Multiagenten-Workflows,KVFlow: 为加速基于LLM的多重需要工作流程而高效预置缓存,http://arxiv.org/abs/2507.07400v1
5,"This paper proposes a novel planning framework to handle a multi-agent pathfinding problem under team-connected communication constraint, where all agents must have a connected communication channel to the rest of the team during their entire movements. Standard multi-agent path finding approaches (e.g., priority-based search) have potential in this domain but fail when neighboring configurations at start and goal differ. Their single-expansion approach -- computing each agent's path from the start to the goal in just a single expansion -- cannot reliably handle planning under communication constraints for agents as their neighbors change during navigating. Similarly, leader-follower approaches (e.g., platooning) are effective at maintaining team communication, but fixing the leader at the outset of planning can cause planning to become stuck in dense-clutter environments, limiting their practical utility. To overcome this limitation, we propose a novel two-level multi-agent pathfinding framework that integrates two techniques: adaptive path expansion to expand agent paths to their goals in multiple stages; and dynamic leading technique that enables the reselection of the leading agent during each agent path expansion whenever progress cannot be made. Simulation experiments show the efficiency of our planners, which can handle up to 25 agents across five environment types under a limited communication range constraint and up to 11-12 agents on three environment types under line-of-sight communication constraint, exceeding 90% success-rate where baselines routinely fail.","本文提出一个新的规划框架,以处理在团队连接的通信限制下多试剂路径调查问题,所有代理人员必须在整个移动期间拥有与团队其余部分的连接通信渠道。标准多试剂查找方法(例如基于优先的搜索)在这方面具有潜力,但当周边配置在开始时和目标不同时却失败。他们的一个扩展方法 -- -- 计算每个代理人员从一开始到仅仅以单一扩展为目标的路径 -- -- 无法可靠地处理在通信限制下对代理人员进行规划,因为其邻国在导航过程中发生变化。同样,领导追随者方法(例如排)在维持团队通信方面十分有效,但在规划开始时确定领导者可以导致规划被困在拥挤的环境中,限制其实际效用。为了克服这一限制,我们提议一个新的两级多试探框架,将两种技术结合起来:适应性路径扩展,将代理人员路径扩大到多个阶段的目标;动态领先技术,使领导代理人员在每一个代理人员扩展过程中,只要无法取得进展,就能在每一个代理人员扩展过程中重新进行选择。模拟实验,但在规划开始时确定领导者的效率时,在密集的第三种通信限制范围下,在超过第四种环境中可以进行限制范围为第三种环境之下,在第四种情况下进行。","Hoang-Dung Bui, Erion Plaku, Gregoy J. Stein",2025-07-10T01:02:17Z,Multi-Agent Pathfinding Under Team-Connected Communication Constraint   via Adaptive Path Expansion and Dynamic Leading,Multi-Agent Pathfinding unter Team-Connected Communication Constraint über Adaptive Path Expansion und Dynamic Leading,"通过适应性路径扩展和动态领导,在联成一体的通信制约下,开展多机构多方机构路透调查",http://arxiv.org/abs/2501.02770v4
6,"This paper describes HARMONIC, a cognitive-robotic architecture that integrates the OntoAgent cognitive framework with general-purpose robot control systems applied to human-robot teaming (HRT). HARMONIC incorporates metacognition, meaningful natural language communication, and explainability capabilities required for developing mutual trust in HRT. Through simulation experiments involving a joint search task performed by a heterogeneous team of two HARMONIC-based robots and a human operator, we demonstrate heterogeneous robots that coordinate their actions, adapt to complex scenarios, and engage in natural human-robot communication. Evaluation results show that HARMONIC-based robots can reason about plans, goals, and team member attitudes while providing clear explanations for their decisions, which are essential requirements for realistic human-robot teaming.","本文介绍HARMONTIC,这是一个将OntoAgency认知框架与适用于人类机器人团队的通用机器人控制系统相结合的认知-机器人结构。HARMONIC包含在HRT中发展相互信任所需的内分化、有意义的自然语言交流和解释能力。通过由HARMONIC的两名机器人和一个人类操作员组成的多元团队进行联合搜索任务的模拟实验,我们展示了协调其行动、适应复杂情景和从事自然人类机器人通信的异体机器人。评价结果显示,基于HARMONIC的机器人可以解释计划、目标和团队成员的态度,同时为其决定提供明确的解释,这是现实人类机器人团队化的基本要求。","Sanjay Oruganti, Sergei Nirenburg, Marjorie McShane, Jesse English, Michael K. Roberts, Christian Arndt, Sahithi Kamireddy, Carlos Gonzalez, Mingyo Seo, Luis Sentis",2025-07-09T20:58:34Z,HARMONIC: Cognitive and Control Collaboration in Human-Robotic Teams,HARMONIC: Kognitive und Control Collaboration in human-robotischen Teams,HARMONIC: 人类-热带小组的认知和控制协作,http://arxiv.org/abs/2409.18047v3
7,"We present a multi-agent system for automation of scientific research tasks, cmbagent. The system is formed by about 30 Large Language Model (LLM) agents and implements a Planning & Control strategy to orchestrate the agentic workflow, with no human-in-the-loop at any point. Each agent specializes in a different task (performing retrieval on scientific papers and codebases, writing code, interpreting results, critiquing the output of other agents) and the system is able to execute code locally. We successfully apply cmbagent to carry out a PhD level cosmology task (the measurement of cosmological parameters using supernova data) and evaluate its performance on two benchmark sets, finding superior performance over state-of-the-art LLMs. The source code is available on GitHub, demonstration videos are also available, and the system is deployed on HuggingFace and will be available on the cloud.","我们提出了一个多试剂系统,用于科研任务的自动化,cmbexic。这个系统由大约30个大语言模型代理商组成,并执行一项规划与控制战略,以协调代理工作流程,在任何时间都没有人在行。每个代理商都专门从事不同的任务(科学论文和代码库的检索、写法、解释结果、使其他代理商的输出具有生命力)和系统能够在当地执行代码。我们成功地应用了cmbexuc执行博士级宇宙学任务(使用超新星数据测量宇宙参数),并评估其在两个基准系列上的性能,在最新LLMS上找到优异的性能。源代码在GitHub上可以找到,演示视频也可以在HuggingFace上安装,并将在云层上提供。","Licong Xu, Milind Sarkar, Anto I. Lonappan, Íñigo Zubeldia, Pablo Villanueva-Domingo, Santiago Casas, Christian Fidler, Chetana Amancharla, Ujjwal Tiwari, Adrian Bayer, Chadi Ait Ekiou, Miles Cranmer, Adrian Dimitrov, James Fergusson, Kahaan Gandhi, Sven Krippendorf, Andrew Laverick, Julien Lesgourgues, Antony Lewis, Thomas Meier, Blake Sherwin, Kristen Surrao, Francisco Villaescusa-Navarro, Chi Wang, Xueqing Xu, Boris Bolliet",2025-07-09T20:03:30Z,Open Source Planning & Control System with Language Agents for   Autonomous Scientific Discovery,Open Source Planning & Control System mit Language Agents für autonome wissenschaftliche Entdeckung,拥有自主科学发现语言代理的开放源规划和控制系统,http://arxiv.org/abs/2507.07257v1
8,"Multi-agent reinforcement learning (MARL) faces significant challenges in task sequencing and curriculum design, particularly for cooperative coordination scenarios. While curriculum learning has demonstrated success in single-agent domains, principled approaches for multi-agent coordination remain limited due to the absence of validated task complexity metrics. This approach presents a graph-based coordination complexity metric that integrates agent dependency entropy, spatial interference patterns, and goal overlap analysis to predict task difficulty in multi-agent environments. The complexity metric achieves strong empirical validation with rho = 0.952 correlation (p < 0.001) between predicted complexity and empirical difficulty determined by random agent performance evaluation. This approach evaluates the curriculum learning framework using MADDPG across two distinct coordination environments: achieving 56x performance improvement in tight coordination tasks (MultiWalker) and demonstrating systematic task progression in cooperative navigation (Simple Spread). Through systematic analysis, coordination tightness emerges as a predictor of curriculum learning effectiveness, where environments requiring strict agent interdependence benefit substantially from structured progression. This approach provides a validated complexity metric for multi-agent curriculum design and establishes empirical guidelines for multi-robot coordination applications.","多剂强化学习(MARL)在任务排序和课程设计方面面临重大挑战,特别是在合作协调情景方面。课程学习在单一剂领域取得了成功,但多剂协调的原则办法仍然有限,因为缺乏经验证的任务复杂度指标。这种方法提出了基于图表的协调复杂度指标,其中结合了物剂依赖性激素、空间干扰模式以及目标重叠分析,以预测多剂环境中的任务困难。复杂的指标在预测复杂性和随机剂绩效评估确定的经验困难之间实现了强有力的经验验证,Rho=0.952相关(p <0.001),这种方法为多剂课程设计提供了经过验证的复杂度指标,并为多剂协调应用制定了经验准则。","Farhaan Ebadulla, Dharini Hindlatti, Srinivaasan NS, Apoorva VH, Ayman Aftab",2025-07-09T17:31:35Z,Graph-Based Complexity Metrics for Multi-Agent Curriculum Learning: A   Validated Approach to Task Ordering in Cooperative Coordination Environments,Graph-based Complexity Metrics for Multi-Agent Curriculum Learning: A Validated Approach to Task Ordering in Cooperative Coordination Environments,用于多机构课程学习的基于图表的复杂程度计量表:在合作协调环境中确定任务,http://arxiv.org/abs/2507.07074v1
9,"Decentralized learning offers a promising approach to crowdsource data consumptions and computational workloads across geographically distributed compute interconnected through peer-to-peer networks, accommodating the exponentially increasing demands. However, proper incentives are still in absence, considerably discouraging participation. Our vision is that a fair incentive mechanism relies on fair attribution of contributions to participating nodes, which faces non-trivial challenges arising from the localized connections making influence ``cascade'' in a decentralized network. To overcome this, we design the first method to estimate \textbf{D}ata \textbf{I}nfluence \textbf{C}ascad\textbf{E} (DICE) in a decentralized environment. Theoretically, the framework derives tractable approximations of influence cascade over arbitrary neighbor hops, suggesting the influence cascade is determined by an interplay of data, communication topology, and the curvature of loss landscape. DICE also lays the foundations for applications including selecting suitable collaborators and identifying malicious behaviors. Project page is available at https://raiden-zhu.github.io/blog/2025/DICE/.","分散化学习为通过同侪网络进行地理分布的多方源数据消费和计算工作量提供了一种充满希望的方法,通过同侪网络进行计算,从而满足急剧增长的需求。然而,适当的奖励办法仍然缺乏,大大抑制了参与。我们的愿景是,公平的奖励机制依赖于对参与节点的捐款的公平分配,而参与节点面临非三重挑战,因为地方联系在分散化的网络中产生了“连带”影响。为了克服这一点,我们设计了第一个方法来估计在分散化的环境中对各种应用进行估计,包括选择适当的合作者和查明恶意行为。从理论上讲,该框架产生了对任意邻里跳跃的可移动影响力的可移动近似值,表明影响是数据、通信地貌和损失地貌曲线的相互作用所决定的。DICE还为各种应用奠定了基础,包括选择合适的合作者和确定恶意行为。项目网页见https://raiden-zhu.github.io/blogb/205/DICE/。","Tongtian Zhu, Wenhao Li, Can Wang, Fengxiang He",2025-07-09T15:13:44Z,DICE: Data Influence Cascade in Decentralized Learning,DICE: Dateneinfluss Cascade im dezentralisierten Lernen,DICIC: 分散学习中的数据影响连锁数据,http://arxiv.org/abs/2507.06931v1
