,abstract,abstract-zh,authors,date,title,title-de,title-zh,url
0,"Reservoir computing (RC) has attracted attention as an efficient recurrent neural network architecture due to its simplified training, requiring only its last perceptron readout layer to be trained. When implemented with memristors, RC systems benefit from their dynamic properties, which make them ideal for reservoir construction. However, achieving high performance in memristor-based RC remains challenging, as it critically depends on the input preprocessing method and reservoir size. Despite growing interest, a comprehensive evaluation that quantifies the impact of these factors is still lacking. This paper systematically compares various preprocessing methods for memristive RC systems, assessing their effects on accuracy and energy consumption. We also propose a parity-based preprocessing method that improves accuracy by 2-6% while requiring only a modest increase in device count compared to other methods. Our findings highlight the importance of informed preprocessing strategies to improve the efficiency and scalability of memristive RC systems.","储量计算(RC)作为一个高效的经常性神经网络结构吸引了人们的注意,因为其培训简化了,只要求其最后的过敏读出层接受培训。在与存储器一起实施时,RC系统受益于其动态特性,这些特性使得它们成为储油层建造的理想条件。然而,在以memristor为基础的RC实现高性能仍具有挑战性,因为它关键取决于输入预处理方法和储油层大小。尽管人们日益感兴趣,但仍然缺乏全面评价,以量化这些因素的影响。本文系统地比较了存储器系统的各种预处理方法,评估其对精度和能源消耗的影响。我们还提出了一个基于对等的预处理方法,即提高精度2-6%,而仅要求与其他方法相比,设备计数略有增加。我们的调查结果强调了知情的预处理战略对于提高存储器系统的效率和可扩展性的重要性。","Rishona Daniels, Duna Wattad, Ronny Ronen, David Saad, Shahar Kvatinsky",2025-07-31T14:03:16Z,Preprocessing Methods for Memristive Reservoir Computing for Image   Recognition,Vorverarbeitungsverfahren für Memoristive Reservoir Computing für die Bilderkennung,用于识别图像的中间储量计算预处理方法,http://arxiv.org/abs/2506.05588v3
1,"Spiking Neural Networks (SNNs) promise orders-of-magnitude lower power consumption and low-latency inference on neuromorphic hardware for a wide range of robotic tasks. In this work, we present an energy-efficient implementation of a reinforcement learning (RL) algorithm using quantized SNNs to solve two classical control tasks. The network is trained using the Q-learning algorithm, then fine-tuned and quantized to low-bit (8-bit) precision for embedded deployment on the SpiNNaker2 neuromorphic chip. To evaluate the comparative advantage of SpiNNaker2 over conventional computing platforms, we analyze inference latency, dynamic power consumption, and energy cost per inference for our SNN models, comparing performance against a GTX 1650 GPU baseline. Our results demonstrate SpiNNaker2's strong potential for scalable, low-energy neuromorphic computing, achieving up to 32x reduction in energy consumption. Inference latency remains on par with GPU-based execution, with improvements observed in certain task settings, reinforcing SpiNNaker2's viability for real-time neuromorphic control and making the neuromorphic approach a compelling direction for efficient deep Q-learning.","Spik NealNetworks(SNNS)承诺对神经形态硬件进行高压低电耗和低长推导,用于一系列广泛的机器人任务。在这项工作中,我们展示了使用四分制 SNNS 解决两个古典控制任务的强化学习(RL)算法的节能应用。该网络使用Q-学习算法进行了培训,然后对SpinnNAker2神经形态芯片的嵌入部署精确度进行了微调(8-位)微调和量化。为了评估SpinNNAker2相对于常规计算平台的比较优势,我们分析了SnNNE2模型的推断力、动态电耗和能源成本,对照GTX 1650 GPU基准对性能进行了比较。我们的结果表明SpinNNARC2在可缩放电、低能量神经形态计算方面的巨大潜力,达到32x能源消耗量的减少量。推导力仍与基于GPU的操作法相近,在某些任务环境中观察到的改进,加强了Spinne-national lacer 方法,加强了Spal-stable-stregregregrostal laction Qs for the rest for the recialction aprevental","Sirine Arfa, Bernhard Vogginger, Christian Mayr",2025-07-31T13:49:44Z,Hardware-Aware Fine-Tuning of Spiking Q-Networks on the SpiNNaker2   Neuromorphic Platform,Hardware-Aware Feintuning von Spiking Q-Netzwerken auf der SpiNNaker2 Neuromorphic Platform,SpinNNNAK2 神经变形平台SpiNNAKK QNetwork 的硬件- 硬件- 软件精密配置,http://arxiv.org/abs/2507.23562v1
2,"In order to follow the ever-growing computational complexity and data intensity of state-of-the-art AI models, new computing paradigms are being proposed. These paradigms aim at achieving high energy efficiency by mitigating the Von Neumann bottleneck that relates to the energy cost of moving data between the processing cores and the memory. Convolutional Neural Networks (CNNs) are susceptible to this bottleneck, given the massive data they have to manage. Systolic arrays (SAs) are promising architectures to mitigate data transmission cost, thanks to high data utilization of Processing Elements (PEs). These PEs continuously exchange and process data locally based on specific dataflows (such as weight stationary and row stationary), in turn reducing the number of memory accesses to the main memory. In SAs, convolutions are managed either as matrix multiplications or exploiting the raster-order scan of sliding windows. However, data redundancy is a primary concern affecting area, power, and energy. In this paper, we propose TrIM: a novel dataflow for SAs based on a Triangular Input Movement and compatible with CNN computing. TrIM maximizes the local input utilization, minimizes the weight data movement, and solves the data redundancy problem. Furthermore, TrIM does not incur the significant on-chip memory penalty introduced by the row stationary dataflow. When compared to state-of-the-art SA dataflows, the high data utilization offered by TrIM guarantees ~10X less memory access. Furthermore, considering that PEs continuously overlap multiplications and accumulations, TrIM achieves high throughput (up to 81.8% higher than row stationary), other than requiring a limited number of registers (up to 15.6X fewer registers than row stationary).","为了跟踪最新AI模型不断增长的计算复杂性和数据密度,正在提出新的计算模式。这些模式的目的是通过减少Von Neumann瓶颈,实现高能效,因为Von Neumann瓶颈与处理核心和记忆中数据移动的能量成本有关。进化神经网络(CNNs)容易受到这一瓶颈的影响,因为需要管理大量数据。Systolic 数组(SAs)是降低数据传输成本的有希望的结构,因为处理要素(PE)的数据利用率很高。这些PE基于特定数据流(例如重量固定和行定点)不断在本地交换和处理数据效率高能效。在SAls, 变动要么是矩阵变倍化,要么是利用滑动窗口的光序扫描。然而,数据冗余是影响区域、电力和能源的一个主要问题。在本文中,我们提议TrIM:以三角轴输入要素的内存数据流为基础,不是将TIM-行内存数据流最小化,而是将TIM的内存数据最大化到数据使用率数据。Sal-deal Modal-deal Moveal Movemental Movemental 需要通过高数据。Sal IM IM IM 需要通过高数据存储数据存储数据存储数据流, 进行最慢化的内化的内存取取取数据。","Cristian Sestito, Shady Agwa, Themis Prodromakis",2025-07-31T12:46:22Z,"TrIM, Triangular Input Movement Systolic Array for Convolutional Neural   Networks: Dataflow and Analytical Modelling","TrIM, Dreieckige Eingabebewegung Systolisches Array für konvolutionäre neurale Netzwerke: Datenfluss und analytische Modellierung","TrIM, 用于进进进神经网络的三角输入运动轮流阵列: 数据流和分析模型",http://arxiv.org/abs/2408.01254v3
3,"For many real-world applications involving low-power sensor edge devices deep neural networks used for image classification might not be suitable. This is due to their typically large model size and require- ment of operations often exceeding the capabilities of such resource lim- ited devices. Furthermore, camera sensors usually capture images with a Bayer color filter applied, which are subsequently converted to RGB images that are commonly used for neural network training. However, on resource-constrained devices, such conversions demands their share of energy and optimally should be skipped if possible. This work ad- dresses the need for hardware-suitable AI targeting sensor edge devices by means of the Video Capsule Endoscopy, an important medical proce- dure for the investigation of the small intestine, which is strongly limited by its battery lifetime. Accurate organ classification is performed with a final accuracy of 93.06% evaluated directly on Bayer images involv- ing a CNN with only 63,000 parameters and time-series analysis in the form of Viterbi decoding. Finally, the process of capturing images with a camera and raw image processing is demonstrated with a customized PULPissimo System-on-Chip with a RISC-V core and an ultra-low power hardware accelerator providing an energy-efficient AI-based image clas- sification approach requiring just 5.31 {\mu}J per image. As a result, it is possible to save an average of 89.9% of energy before entering the small intestine compared to classic video capsules.","对于许多用于图像分类的低能传感器边缘装置深神经网络的实际应用来说,这种转换可能不合适。这是因为其典型的模型规模巨大,需要操作时量往往超过这种资源液化设备的能力。此外,摄像传感器通常用贝氏色过滤器捕获图像,然后将其转换成用于神经网络培训的RGB图像。然而,在资源限制的装置上,这种转换要求其份额的能量和尽可能最优的方式加以跳动。这项工作满足了通过视频胶囊(Endoscopy)对传感器边缘装置进行硬件易行用的AI的需要。视频胶囊(Endoscopy)是调查小肠的重要医学前置值,其电池寿命极受限制。对Bayer图像进行的最后精确度评价为93.06%,而CNN仅以63,000个参数为基础进行时间序列分析,并以Vterbi解码形式进行。最后,通过摄像机和原始图像处理用89个小图像的过程,这是用于调查小型肠脏的重要医学前的精度,因为其电池寿命极短度受电压的图像进入了一台智能系统,因此需要一台SIPLILILIC的精度。","Oliver Bause, Julia Werner, Paul Palomero Bernardo, Oliver Bringmann",2025-07-31T10:13:39Z,Smart Video Capsule Endoscopy: Raw Image-Based Localization for Enhanced   GI Tract Investigation,Smart Video Capsule Endoskopie: Raw Image-basierte Lokalisierung für verbesserte GI Tract Untersuchung,智能视频胶囊内窥视:用于强化GITract调查的原始基于图像的本地化,http://arxiv.org/abs/2507.23398v1
4,"Large language model (LLM) inference poses significant challenges due to its intensive memory and computation demands. Weight and activation quantization (WAQ) offers a promising solution by reducing both memory footprint and arithmetic complexity. However, two key challenges remain in the existing WAQ designs. (1) Traditional WAQ designs rely on uniform integer-based quantization for hardware efficiency, but this often results in significant accuracy degradation at low precision. K-Means-based quantization, a non-uniform quantization technique, achieves higher accuracy by matching the Gaussian-like distributions of weights and activations in LLMs. However, its non-uniform nature prevents direct execution on low-precision compute units, requiring dequantization and floating-point matrix multiplications (MatMuls) during inference. (2) Activation outliers further hinder effective low-precision WAQ. Offline thresholding methods for outlier detection can lead to significant model performance degradation, while existing online detection techniques introduce substantial runtime overhead.   To address the aforementioned challenges and fully unleash the potential of WAQ with K-Means quantization for LLM inference, in this paper, we propose KLLM, a hardware-software co-design framework. KLLM features an index-based computation scheme for efficient execution of MatMuls and nonlinear operations on K-Means-quantized data, which avoids most of the dequantization and full-precision computations. Moreover, KLLM incorporates a novel outlier detection engine, Orizuru, that efficiently identifies the top-$k$ largest and smallest elements in the activation data stream during online inference.   Extensive experiments show that, on average, KLLM achieves speedups of 9.67x, 7.03x and energy efficiency improvements of 229.50x, 150.21x compared to the A100 GPU and Atom, respectively.","大型语言模型(LLM)的推论因其密集的内存和计算需求而构成重大挑战。 重力和激活四分制(WAQ)通过减少记忆足迹和算术复杂性提供了一个大有希望的解决方案。 然而,现有的WAQ设计中仍存在两个关键挑战。 (1) 传统的WAQ设计依靠统一的整数量化来提高硬件效率,但通常导致低精度的精确度大幅下降。 K-Means基四分制(一种非单式四分制技术),通过匹配像高斯一样的重量分布和LLMM的激活(WAQQ)。 然而,它的不统一性质使得无法直接执行低精确度的计算单位。 (1) 传统的WAQQQQQQ 设计依靠统一的整分级整分级量化,但是这往往导致低精度有效低精度的WAQQ。 K-MLUIQ的离值临界分级分级测试方法可以导致显著的模型性能退化,而现有的在线检测技术可以大量运行。 为了应对上述挑战,并且完全释放了K-MA公司最低的操作,K-MLULLLLL的中的一项不精度操作,在K-MA的中可以显示一个不精度框架。","Xueying Wu, Baijun Zhou, Zhihui Gao, Yuzhe Fu, Qilin Zheng, Yintao He, Hai Li",2025-07-30T19:01:25Z,KLLM: Fast LLM Inference with K-Means Quantization,KLLM: Schnelle LLM-Inferenz mit K-Means-Quantisierung,KLLM: 快速LLM 与 K- Means 量化的推论,http://arxiv.org/abs/2507.23035v1
5,"3D Gaussian Splatting (3DGS) enables high-quality rendering of 3D scenes and is getting increasing adoption in domains like autonomous driving and embodied intelligence. However, 3DGS still faces major efficiency challenges when faced with high frame rate requirements and resource-constrained edge deployment. To enable efficient 3DGS, in this paper, we propose LS-Gaussian, an algorithm/hardware co-design framework for lightweight streaming 3D rendering. LS-Gaussian is motivated by the core observation that 3DGS suffers from substantial computation redundancy and stalls. On one hand, in practical scenarios, high-frame-rate 3DGS is often applied in settings where a camera observes and renders the same scene continuously but from slightly different viewpoints. Therefore, instead of rendering each frame separately, LS-Gaussian proposes a viewpoint transformation algorithm that leverages inter-frame continuity for efficient sparse rendering. On the other hand, as different tiles within an image are rendered in parallel but have imbalanced workloads, frequent hardware stalls also slow down the rendering process. LS-Gaussian predicts the workload for each tile based on viewpoint transformation to enable more balanced parallel computation and co-designs a customized 3DGS accelerator to support the workload-aware mapping in real-time. Experimental results demonstrate that LS-Gaussian achieves 5.41x speedup over the edge GPU baseline on average and up to 17.3x speedup with the customized accelerator, while incurring only minimal visual quality degradation.","3D Gausian Splateting (3DDGS) 能够高质量地展示3D场景,并在自动驱动和内装智能等领域得到越来越多的采用。 但是, 3DDS 在面临高框架速率要求和资源限制边缘部署时,仍然面临主要的效率挑战。 因此, 为使3DDS能够高效地配置3DGS, 我们在本文件中提议, 3D S- Gausian 算法/硬件共同设计框架, 用于轻量流3D 。 LS- Gausian 的核心观察显示, 3DGS 存在大量计算冗余和摊位。 一方面, 一方面, 在实际情景中, 高框架3 3DGS 经常在相机观察和连续地显示相同场景时, 高框架3DGS 应用高框架。 LS- Gussiator 提出一个观点转换算法, 利用跨框架的连续性来创造高效的3DV。 另一方面, 图像中不同的瓷体只是平行但有不均匀的工作量, 经常的硬件摊子也拖慢了转换过程。 LS- GAussiexxxxeralalalalalalalalalimalalalalalalalaliming 。","Linye Wei, Jiajun Tang, Fan Fei, Boxin Shi, Runsheng Wang, Meng Li",2025-07-30T08:58:30Z,"No Redundancy, No Stall: Lightweight Streaming 3D Gaussian Splatting for   Real-time Rendering","Keine Redundanz, kein Stall: Leichtes Streaming 3D Gaussian Splatting für Echtzeit-Rendering","无冗余,无拖延:轻量级流 3D Gaussian Splating 用于实时招标",http://arxiv.org/abs/2507.21572v2
6,"Sequence alignment is a fundamental process in computational biology which identifies regions of similarity in biological sequences. With the exponential growth in the volume of data in bioinformatics databases, the time, processing power, and memory bandwidth for comparing a query sequence with the available databases grows proportionally. The sequence alignment algorithms often involve simple arithmetic operations and feature high degrees of inherent fine-grained and coarse-grained parallelism. These features can be potentially exploited by a massive parallel processor, such as a GPU, to increase throughput. In this paper, we show that the excessive memory bandwidth demand of the sequence alignment algorithms prevents exploiting the maximum achievable throughput on conventional parallel machines. We then propose a memory-aware architecture to reduce the bandwidth demand of the sequence alignment algorithms, effectively pushing the memory wall to extract higher throughput. The design is integrated at the logic layer of an emerging 3D DRAM as a processing-in-memory architecture to further increase the available bandwidth. The experimental results show that the proposed architecture results in up to 2.4x speedup over a GPU-based design. Moreover, by moving the computation closer to the memory, power consumption is reduced by 37%, on average.","序列序列对齐是一个基本的计算生物学过程,它确定生物序列中相近的区域。 随着生物信息数据库中数据量的指数增长, 时间、 处理力和内存带宽与可用数据库比较查询序列的量成比例增长。 序列对齐算法往往涉及简单的算术操作, 并具有高层次的内在细微细和粗粗微的平行特征。 这些特征有可能被大型平行处理器( 如GPU) 利用, 以增加输送量。 本文显示, 序列对齐算法的过度记忆带宽需求无法利用常规平行机器上的最大可实现的吞吐量。 我们然后提议一个记忆- 觉结构, 以减少序列对齐算法的带宽需求, 有效地推动记忆墙以提取更高的吞吐量。 设计可以在正在形成的 3D DRAM 的逻辑层中整合成一个处理- 模块, 以进一步增加可用的带宽。 实验结果显示, 拟议的结构在GPU 设计上达到2.4x 速度。 此外, 通过更接近平均的计算, 将电流到 。","Nasrin Akbari, Mehdi Modarressi, Alireza Khadem",2025-07-29T20:39:29Z,A Customized Memory-aware Architecture for Biological Sequence Alignment,"Eine maßgeschneiderte, speicherbewusste Architektur für die biologische Sequenzausrichtung",用于生物序列对齐的自定义内存意识架构,http://arxiv.org/abs/2507.22221v1
7,"As large language models demonstrate enormous potential in the field of Electronic Design Automation (EDA), generative AI-assisted chip design is attracting widespread attention from academia and industry. Although these technologies have made preliminary progress in tasks such as code generation, their application in chip verification -- a critical bottleneck in the chip development cycle -- remains at an exploratory stage. This paper proposes an innovative Multi-Agent Verification Framework (MAVF) aimed at addressing the limitations of current single-LLM approaches in complex verification tasks. Our framework builds an automated transformation system from design specifications to testbench through the collaborative work of multiple specialized agents, including specification parsing, verification strategy generation, and code implementation. Through verification experiments on multiple chip modules of varying complexity, results show that MAVF significantly outperforms traditional manual methods and single-dialogue generative AI approaches in verification document parsing and generation, as well as automated testbench generation. This research opens new directions for exploring generative AI applications in verification automation, potentially providing effective approaches to solving the most challenging bottleneck issues in chip design.","由于大型语言模型在电子设计自动化领域显示出巨大潜力,因此基因型的AI辅助芯片设计正在吸引学术界和工业界的广泛关注,尽管这些技术在代码生成等任务方面取得了初步进展,但在芯片核查(芯片开发周期中一个关键瓶颈)中的应用仍处于探索阶段。本文件提议了一个创新的多机构核查框架(MAVF),旨在解决当前单一LLM方法在复杂核查任务中的局限性。我们的框架通过多个专门剂的协作工作,包括规格分解、核查战略的制定和代码的执行,建立了一个从设计规格到测试的自动转换系统。通过对复杂程度不同的多个芯片模块的核查实验,结果显示MAVF在核查文件分解和生成以及自动测试箱生成方面大大超越了传统的手工方法和单一对话型人工方法。这一研究为探索核查自动化中具有基因特征的AI应用开辟了新的方向,有可能为解决芯片设计中最具挑战性的瓶颈问题提供有效的方法。","Wenbo Liu, Forbes Hou, Jon Zhang, Hong Liu, Allen Lei",2025-07-29T11:17:47Z,A Multi-Agent Generative AI Framework for IC Module-Level Verification   Automation,Multi-Agent Generatives KI-Framework für die IC-Modul-Level-Verifikationsautomatisierung,IC 模块级核查自动化多机构生成AI框架,http://arxiv.org/abs/2507.21694v1
8,"Rendering is critical in fields like 3D modeling, AR/VR, and autonomous driving, where high-quality, real-time output is essential. Point-based neural rendering (PBNR) offers a photorealistic and efficient alternative to conventional methods, yet it is still challenging to achieve real-time rendering on mobile platforms. We pinpoint two major bottlenecks in PBNR pipelines: LoD search and splatting. LoD search suffers from workload imbalance and irregular memory access, making it inefficient on off-the-shelf GPUs. Meanwhile, splatting introduces severe warp divergence across GPU threads due to its inherent sparsity.   To tackle these challenges, we propose SLTarch, an algorithm-architecture co-designed framework. At its core, SLTarch introduces SLTree, a dedicated subtree-based data structure, and LTcore, a specialized hardware architecture tailored for efficient LoD search. Additionally, we co-design a divergence-free splatting algorithm with our simple yet principled hardware augmentation, SPcore, to existing PBNR accelerators. Compared to a mobile GPU, SLTarch achieves 3.9$\times$ speedup and 98\% energy savings with negligible architecture overhead. Compared to existing accelerator designs, SLTarch achieves 1.8$\times$ speedup with 54\% energy savings.","3D 建模、 AR/ VR 和 自主驱动等领域, 高品质的实时实时输出至关重要。 基于点的神经转换( PBNR) 提供了常规方法的光现实和高效的替代方法, 但实现移动平台的实时覆盖仍然具有挑战性。 我们在 PBNR 管道中发现了两个主要瓶颈: 搜索和扩展。  LoD 搜索存在工作量不平衡和不规则的记忆访问, 使得它无法在现成的 GPU 上实现效率。 与此同时, 螺旋式的螺旋形使GPU 线由于其内在的松散性而出现严重的扭曲差异。 为了应对这些挑战, 我们提议SLTarch, 是一个算法- 共同设计的框架。 在其核心, SLSTarch 引入了SLTree, 一个专门的次树基数据结构, 以及一个专门为高效的LOD搜索而设计的专用硬件结构。 此外, 我们共同设计了一个与我们简单但有原则的硬件增强、 SPCore 的无差异的螺旋式算法, 至现有的PBNC$ 。 。 。 为了应对这些挑战, 将SLTER 的节能速度提高到 与一个可达98 标准 和可达98 节能 的节能结构, 达到98 达到98 的节能的节能。","Xingyang Li, Jie Jiang, Yu Feng, Yiming Gan, Jieru Zhao, Zihan Liu, Jingwen Leng, Minyi Guo",2025-07-29T04:46:48Z,SLTarch: Towards Scalable Point-Based Neural Rendering by Taming   Workload Imbalance and Memory Irregularity,SLTarch: Auf dem Weg zu einer skalierbaren point-based Neural Rendering durch Taming Workload Unbalance und Memory Irregularity,"SLSTARK:通过修补工作负荷的不平衡和记忆不规则性,走向可缩放的点基心神经成形",http://arxiv.org/abs/2507.21499v1
9,"Parameter extraction for industry-standard device models like ASM-HEMT is crucial in circuit design workflows. However, many manufacturers do not provide such models, leaving users to build them using only datasheets. Unfortunately, datasheets lack sufficient information for standard step-by-step extraction. Moreover, manual data extraction from datasheets is highly time-consuming, and the absence of a fully automated method forces engineers to perform tedious manual work. To address this challenge, this paper introduces a novel, end-to-end framework that fully automates the generation of simulation-ready ASM-HEMT SPICE models directly from PDF datasheets. Our framework is founded on two core innovations: 1) a multi-modal AI pipeline that integrates computer vision with a large language model (LLM) to robustly parse heterogeneous datasheet layouts and digitize characteristic curves, and 2) a novel Iterative-Focusing Tree-structured Parzen Estimator (IF-TPE) optimization algorithm is specifically designed for device parameter extraction under the high-dimensional, sparse-data condition by adaptively refining the parameter search space. Experimental validation on a diverse set of 17 commercial HEMT devices from 10 manufacturers confirms the framework's accuracy and robustness. The generated models demonstrate excellent agreement with published DC and RF characteristics. As the first fully automated workflow of its kind, our proposed solution offers a transformative approach to device modeling, poised to significantly accelerate the circuit design cycle by eliminating the need for manual parameter extraction.","工业标准设备模型(如ASM-HEMT-HEMT)的人工提取参数在电路设计工作流程中至关重要。然而,许多制造商没有提供这种模型,让用户仅使用数据表来建立这些模型。不幸的是,数据表缺乏足够的标准逐步提取信息。此外,数据表的手工数据提取耗时甚多,而且缺乏完全自动化的方法迫使工程师进行枯燥的手工工作。为了应对这一挑战,本文件引入了一个新型的、端到端框架,充分自动化地利用PDF数据表直接生成模拟的ASM-HEMT SPICE模型。我们的框架建立在两个核心创新的基础上:1)多式人工智能管道,将计算机图像与大语言模型(LLLM)相结合,以稳健的混杂的组合数据表布局和数字化的特征曲线。2)新型的热吸附方法优化算法(IF-TPE) 优化算法是专门设计在高维度、低密度数据条件下,通过适应性地改进参数搜索空间的精确度设计参数的参数提取。实验性测试模型将10号的精确性测试模型和模拟模拟模拟模型的多样化地展示了模型。","Yuang Peng, Jiarui Zhong, Yang Zhang, Hong Cai Chen",2025-07-29T01:50:29Z,Automated HEMT Model Construction from Datasheets via Multi-Modal   Intelligence and Prior-Knowledge-Free Optimization,Automatisierte HEMT-Modellkonstruktion aus Datenblättern über Multi-Modal-Intelligenz und vorherige wissensfreie Optimierung,"通过多模式情报和事先知识自由优化,从数据表格中自动建立电子内容管理模型",http://arxiv.org/abs/2507.21430v1
